City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Georgetown,MY,2022-07-28 03:46:38,5.4112,100.3354,89.53,73,20,9.22
68,Guerrero Negro,MX,2022-07-28 03:49:15,27.9769,-114.0611,68.54,83,67,14.79
69,Cape Town,ZA,2022-07-28 03:48:04,-33.9258,18.4232,59.38,80,0,2.3
70,Mpophomeni,ZA,2022-07-28 03:49:16,-29.5682,30.1862,47.97,94,98,1.5
71,Kozyatyn,UA,2022-07-28 03:49:16,49.7143,28.8339,60.37,83,82,7.31
72,Cody,US,2022-07-28 03:49:17,44.5263,-109.0565,73.62,44,100,6.91
73,Saint-Pierre,RE,2022-07-28 03:49:17,-21.3393,55.4781,69.91,69,20,5.75
74,Nizhniy Baskunchak,RU,2022-07-28 03:49:18,48.2198,46.8311,74.17,63,96,12.15
75,Majene,ID,2022-07-28 03:49:18,-3.5403,118.9707,83.62,69,95,13.85
76,Dajal,PK,2022-07-28 03:49:19,29.5577,70.3762,94.84,53,90,7.65
77,Khatanga,RU,2022-07-28 03:46:44,71.9667,102.5,72.39,45,94,4.09
78,Severobaykalsk,RU,2022-07-28 03:49:19,55.65,109.3167,51.75,97,100,3.2
79,Hilo,US,2022-07-28 03:49:20,19.7297,-155.09,85.28,77,40,9.22
80,Coquimbo,CL,2022-07-28 03:49:20,-29.9533,-71.3436,53.33,93,75,1.14
81,Clyde River,CA,2022-07-28 03:49:21,70.4692,-68.5914,37.63,100,100,5.75
82,Kapaa,US,2022-07-28 03:49:21,22.0752,-159.319,84.18,73,20,16.11
83,Peniche,PT,2022-07-28 03:49:22,39.3558,-9.3811,65.28,91,3,10.63
84,Monmouth,US,2022-07-28 03:49:22,40.3001,-74.1663,80.46,81,0,4.61
85,Namatanai,PG,2022-07-28 03:46:46,-3.6667,152.4333,84.97,67,69,13.09
86,Padang,ID,2022-07-28 03:49:23,-0.9492,100.3543,86.05,57,24,4.41
87,Bredasdorp,ZA,2022-07-28 03:49:23,-34.5322,20.0403,47.79,91,0,5.7
88,Butaritari,KI,2022-07-28 03:48:32,3.0707,172.7902,81.84,78,11,12.53
89,Olafsvik,IS,2022-07-28 03:48:59,64.8945,-23.7142,47.93,87,100,27.38
90,Ilheus,BR,2022-07-28 03:50:24,-14.7889,-39.0494,66.65,90,30,5.03
91,Port Macquarie,AU,2022-07-28 03:46:56,-31.4333,152.9167,66.88,48,0,6.53
92,Cherskiy,RU,2022-07-28 03:50:25,68.75,161.3,55.31,47,99,6.15
93,Palenque,MX,2022-07-28 03:50:25,17.5167,-91.9667,73.92,94,100,3.27
94,Flin Flon,CA,2022-07-28 03:46:08,54.7682,-101.865,56.86,66,56,6.22
95,Kutum,SD,2022-07-28 03:50:26,14.2,24.6667,72.34,66,89,4.94
96,Ulcinj,ME,2022-07-28 03:50:26,41.9294,19.2244,74.98,74,30,6.67
97,Apostolove,UA,2022-07-28 03:50:27,47.66,33.7137,72.16,56,9,3.62
98,Dalbeattie,GB,2022-07-28 03:50:27,54.9328,-3.8227,58.84,75,100,2.86
99,Boo,SE,2022-07-28 03:50:28,59.3333,18.2833,56.59,73,100,8.05
100,Jamestown,US,2022-07-28 03:50:28,42.097,-79.2353,72.99,73,100,6.91
101,Sterling,US,2022-07-28 03:47:17,39.0062,-77.4286,79.59,90,20,5.01
102,Luderitz,NA,2022-07-28 03:47:26,-26.6481,15.1594,53.87,75,0,2.33
103,Kavieng,PG,2022-07-28 03:50:29,-2.5744,150.7967,84.96,72,25,18.16
104,Port Lincoln,AU,2022-07-28 03:49:06,-34.7333,135.8667,59.68,64,17,7.0
105,Faanui,PF,2022-07-28 03:50:30,-16.4833,-151.75,78.6,76,14,25.39
106,Morant Bay,JM,2022-07-28 03:50:30,17.8815,-76.4093,82.02,85,27,8.52
107,Bluff,NZ,2022-07-28 03:50:31,-46.6,168.3333,47.8,86,100,11.52
108,Longyearbyen,SJ,2022-07-28 03:47:01,78.2186,15.6401,42.64,81,75,18.41
109,Ponta Do Sol,PT,2022-07-28 03:48:33,32.6667,-17.1,73.71,74,0,5.91
110,Nizwa,OM,2022-07-28 03:50:31,22.9333,57.5333,78.66,73,80,6.38
111,Chumphon,TH,2022-07-28 03:50:32,10.3333,98.8333,83.21,70,99,1.03
112,Puerto Leguizamo,CO,2022-07-28 03:50:32,-0.1934,-74.7819,68.56,99,90,1.68
113,Dikson,RU,2022-07-28 03:47:07,73.5069,80.5464,40.55,94,61,13.49
114,Lagoa,PT,2022-07-28 03:49:45,39.05,-27.9833,71.13,81,0,7.27
115,Ankazobe,MG,2022-07-28 03:50:33,-18.3167,47.1167,52.54,83,0,3.85
116,Krasnoselkup,RU,2022-07-28 03:50:34,65.7,82.4667,60.48,63,88,17.56
117,Woodstock,CA,2022-07-28 03:46:08,43.1334,-80.7497,70.02,96,49,5.99
118,Vanderhoof,CA,2022-07-28 03:50:34,54.0166,-124.0198,75.88,53,1,2.42
119,Robertson,US,2022-07-28 03:46:06,36.5167,-86.8667,84.88,93,75,0.0
120,Cabo San Lucas,MX,2022-07-28 03:49:22,22.8909,-109.9124,86.5,71,44,10.29
121,Gedo,ET,2022-07-28 03:50:35,9.0167,37.45,50.58,97,87,0.98
122,Rio Pomba,BR,2022-07-28 03:50:35,-21.2747,-43.1792,58.75,89,0,1.39
123,Conyers,US,2022-07-28 03:50:24,33.6676,-84.0177,84.16,88,40,0.0
124,Juntas,CR,2022-07-28 03:50:36,10.2809,-84.9595,75.63,92,99,2.1
125,Pisco,PE,2022-07-28 03:50:36,-13.7,-76.2167,59.05,82,20,3.44
126,Sao Filipe,CV,2022-07-28 03:50:37,14.8961,-24.4956,78.26,88,92,3.98
127,Teya,RU,2022-07-28 03:50:37,60.3778,92.6267,65.21,65,99,1.61
128,Maceio,BR,2022-07-28 03:49:14,-9.6658,-35.7353,72.84,88,40,4.61
129,Auki,SB,2022-07-28 03:50:38,-8.7676,160.7034,85.84,63,15,4.38
130,Nizhniy Kuranakh,RU,2022-07-28 03:50:38,58.8353,125.4869,85.05,48,6,7.38
131,Provideniya,RU,2022-07-28 03:48:13,64.3833,-173.3,44.71,100,100,7.0
132,Baykit,RU,2022-07-28 03:50:39,61.67,96.37,68.68,79,100,3.47
133,Saint George,US,2022-07-28 03:50:35,37.1041,-113.5841,74.62,75,40,8.05
134,Lovozero,RU,2022-07-28 03:50:40,68.005,35.0117,61.3,72,70,6.76
135,Okhotsk,RU,2022-07-28 03:51:40,59.3833,143.3,66.15,74,28,7.25
136,Ampanihy,MG,2022-07-28 03:51:41,-24.7,44.75,56.32,87,0,5.68
137,Kearney,US,2022-07-28 03:51:41,40.6995,-99.0815,73.96,88,75,4.61
138,Sorong,ID,2022-07-28 03:51:41,-0.8833,131.25,82.13,79,28,4.36
139,Marzuq,YE,2022-07-28 03:51:42,14.4,46.4667,81.07,43,96,5.88
140,Jibuti,DJ,2022-07-28 03:51:42,11.5,42.5,83.86,44,14,7.67
141,Tooele,US,2022-07-28 03:51:43,40.5308,-112.2983,81.18,29,74,1.19
142,Jacareacanga,BR,2022-07-28 03:51:43,-6.2222,-57.7528,78.3,44,97,1.54
143,Tela,HN,2022-07-28 03:51:44,15.7833,-87.45,77.88,90,30,7.9
144,Bambous Virieux,MU,2022-07-28 03:50:41,-20.3428,57.7575,69.22,88,40,6.91
145,Castro,BR,2022-07-28 03:51:44,-24.7911,-50.0119,56.53,80,90,2.75
146,Luena,AO,2022-07-28 03:51:45,-11.7833,19.9167,48.51,45,99,3.69
147,Novaya Ladoga,RU,2022-07-28 03:51:45,60.1025,32.3019,59.9,85,84,6.04
148,Tuatapere,NZ,2022-07-28 03:51:45,-46.1333,167.6833,44.69,93,100,3.65
149,Cururupu,BR,2022-07-28 03:51:46,-1.8283,-44.8683,73.45,90,35,1.9
150,East London,ZA,2022-07-28 03:50:48,-33.0153,27.9116,59.94,88,0,4.61
151,Kruisfontein,ZA,2022-07-28 03:48:38,-34.0033,24.7314,51.73,91,2,5.12
152,Fortuna,US,2022-07-28 03:49:17,40.5982,-124.1573,58.93,84,7,1.01
153,Asau,RO,2022-07-28 03:51:47,46.4333,26.4,63.52,82,16,3.11
154,Sechura,PE,2022-07-28 03:51:48,-5.5569,-80.8222,63.52,82,25,15.28
155,Ancud,CL,2022-07-28 03:49:21,-41.8697,-73.8203,42.85,92,24,2.62
156,Mayya,RU,2022-07-28 03:51:48,61.7333,130.2811,90.72,34,6,1.86
157,Buinsk,RU,2022-07-28 03:51:49,54.95,48.2833,68.52,75,14,3.87
158,Ayan,RU,2022-07-28 03:51:23,56.45,138.1667,59.77,87,31,10.16
159,Qaanaaq,GL,2022-07-28 03:51:49,77.484,-69.3632,36.48,94,45,2.39
160,Constitucion,CL,2022-07-28 03:51:50,-35.3333,-72.4167,48.04,73,6,4.94
161,Kushiro,JP,2022-07-28 03:51:29,42.975,144.3747,77.95,78,75,5.75
162,Saint Augustine,US,2022-07-28 03:50:30,29.8947,-81.3145,80.01,96,78,10.27
163,Zdolbuniv,UA,2022-07-28 03:51:51,50.5206,26.2425,59.45,89,74,2.13
164,Jinchang,CN,2022-07-28 03:51:51,38.4953,102.1739,88.0,13,23,1.19
165,Dingle,PH,2022-07-28 03:47:03,10.9995,122.6711,87.67,70,99,11.12
166,Saint-Philippe,RE,2022-07-28 03:51:52,-21.3585,55.7679,67.59,85,38,10.11
167,Yerbogachen,RU,2022-07-28 03:51:52,61.2767,108.0108,74.88,68,38,6.51
168,Torbay,CA,2022-07-28 03:51:53,47.6666,-52.7314,63.57,92,100,19.57
169,Menongue,AO,2022-07-28 03:51:53,-14.6585,17.691,48.02,46,61,4.97
170,Greenlaw,GB,2022-07-28 03:51:54,55.7068,-2.4624,51.19,88,100,1.03
171,Port Hedland,AU,2022-07-28 03:47:36,-20.3167,118.5667,82.45,36,0,14.97
172,Chumikan,RU,2022-07-28 03:51:55,54.7183,135.315,65.43,76,7,11.05
173,San Patricio,US,2022-07-28 03:48:11,28.017,-97.5169,85.89,72,3,13.02
174,Araouane,ML,2022-07-28 03:50:50,18.9048,-3.5265,93.85,12,0,10.07
175,Tainan,TW,2022-07-28 03:51:31,22.9908,120.2133,91.18,62,40,6.91
176,Tuktoyaktuk,CA,2022-07-28 03:49:23,69.4541,-133.0374,48.2,81,100,11.5
177,Arraial Do Cabo,BR,2022-07-28 03:51:42,-22.9661,-42.0278,67.96,83,0,8.05
178,Dawson Creek,CA,2022-07-28 03:51:56,55.7666,-120.2362,83.84,48,0,3.44
179,Linkoping,SE,2022-07-28 03:52:56,58.4109,15.6216,52.18,97,75,4.61
180,Kahului,US,2022-07-28 03:52:57,20.8947,-156.47,84.22,66,20,23.02
181,Hellin,ES,2022-07-28 03:52:57,38.5106,-1.701,69.26,92,0,1.45
182,Rabat,MA,2022-07-28 03:52:58,33.9911,-6.8401,69.15,94,40,0.0
183,Meulaboh,ID,2022-07-28 03:52:58,4.1363,96.1285,83.95,66,92,2.37
184,Hokitika,NZ,2022-07-28 03:52:58,-42.7167,170.9667,49.84,86,100,5.61
185,Trento,IT,2022-07-28 03:52:59,46.0679,11.1211,69.94,89,40,6.91
